"code_banque";"libelle_banque"
703601;"BNA     SBEITLA"
703602;"BNA     THALA"
703603;"BNA     ENFIDHA"
703604;"BNA     SOUASSI"
703605;"BNA     KAIROUAN"
703606;"BNA     SIDI AMOR BOU HAJLA"
703607;"BNA     SBIBA"
703608;"BNA     HAFFOUZ"
703609;"BNA     H.SOUSSE"
703700;"BNA     SFAX TYNA"
703701;"BNA     AV.F.HACHED SFAX"
703702;"BNA     KAIROUAN"
703703;"BNA     FERIANA"
703704;"BNA     GAAFOUR"
703705;"BNA     GABES"
703706;"BNA     KEBILI"
703707;"BNA     BENI KHIAR"
703708;"BNA     SBIKHA"
703709;"BNA     MATMATA"
703800;"BNA     GAFSA"
703801;"BNA     TOZEUR"
703802;"BNA     SIDI BOUZID"
703803;"BNA     MEKNESSI"
703804;"BNA     DEGACHE"
703805;"BNA     BIR EL HFEY"
703806;"BNA     SAHLINE"
703807;"BNA     EZ-ZAHRA"
703808;"BNA     SAKIET EDDEIR"
703809;"BNA     SFAX NORD"
703900;"BNA     MEDNINE"
703901;"BNA     ZARZIS"
703902;"BNA     JERBA"
703903;"BNA     BEN GUERDANE"
703904;"BNA     SFAX PORT"
703905;"BNA     ATAOUINE"
703906;"BNA     CHEBBA"
703907;"BNA     MAHRES"
703908;"BNA     SOUSSE REPUBLIQUE"
703909;"BNA     BOU ARADA"
703999;"BNA     SEREVICE CENTRAL"
704000;"BS      AV.PARIS TUNIS"
704001;"BS      ARIANA"
704002;"BS      BAB ELKHADRA TUNIS +AGR"
704003;"BS      MEGRINE +           AGR"
704004;"BS      DEN DEN"
704005;"BS      SIDI BOU SAID"
704006;"BS      PLACE M.BEY TUNIS"
704007;"BS      HAMMAM-LIF"
704008;"BS      BARCELONE"
704009;"BS      LA GOULETTE"
704100;"BS      RADES"
704101;"BS      TAJEROUINE"
704102;"BS      AV.LIBERTE TUNIS"
704103;"BS      AV.MED V   TUNIS"
704104;"BS      LE KRAM"
704105;"BS      LE BELVEDERE"
704106;"BS      EL MANAR"
704107;"BS      JERBA EL MAY"
704108;"BS      GABES EL MENZEL"
704109;"BS      METOUIA"
704110;"BS      SILIANA +"
704111;"BS      SIDI THABET"
704112;"BS      ETTADHAMEN"
704113;"BS      BARRAKET ESSAHEL"
704114;"BS      BENI KHEDECHE +"
704115;"BS      CHARGUIA 1"
704116;"BS      BACH HAMBA"
704200;"BS      BIZERTE"
704201;"BS      MENZEL JEMIL"
704202;"BS      MENZEL BOURGUIBA"
704203;"BS      JERBA AJIM"
704204;"BS      M'SAKEN"
704205;"BS      LE KEF"
704206;"BS      RUE MONGI SLIM"
704207;"BS      JERISSA"
704208;"BS      BIR LAHMAR"
704209;"BS      ZARATH GABES"
704300;"BS      HAMMAMET"
704301;"BS      NABEUL"
704302;"BS      SOLIMAN"
704303;"BS      DAR CHAABANE"
704304;"BS      KELIBIA"
704305;"BS      BOU-ARGOUB"
704306;"BS      EL MECHTEL"
704307;"BS      SFAX EL JADIDA"
704308;"BS      TABARKA"
704309;"BS      SOUK EL AHAD"
704400;"BS      BEJA"
704401;"BS      LE BARDO"
704405;"BS      JENDOUBA"
704500;"BS      AV.H.BOURG. SOUSSE"
704501;"BS      ZARMDINE"
704502;"BS      MAHDIA"
704503;"BS      KSAR HELLAL"
704504;"BS      SOUSSE I"
704505;"BS      JEMMAL"
704506;"BS      SOUSSE II"
704507;"BS      TEBOULBA"
704508;"BS      MONASTIR"
704509;"BS      BOU-FICHA"
704600;"BS      KASSERINE"
704601;"BS      MOKNINE"
704602;"BS      BAKALTA"
704603;"BS      BOUMERDES"
704605;"BS      KAIROUAN"
704606;"BS      OULED HAFFOUZ"
704700;"BS      R.CHEBBI SFAX"
704701;"BS      BVD 5 AOUT SFAX"
704702;"BS      R.G.MOSQUEE SFAX(1)"
704703;"BS      JEBENIANA"
704705;"BS      GABES"
704706;"BS      KEBILI"
704707;"BS      DOUZ"
704800;"BS      GAFSA"
704801;"BS      SIDI BOUZID"
704802;"BS      TOZEUR"
704803;"BS      METLAOUI"
704804;"BS      REDEYEF"
704805;"BS      NAFTA"
704806;"BS      SIDI BOUZID"
704807;"BS      GAFSAII"
704808;"BS      MOULARES"
704900;"BS      MEDENINE"
704901;"BS      ZARZIS"
704902;"BS      BEN GARDANE"
704903;"BS      JERBA EL MAY"
704904;"BS      TATAOUINE"
704905;"BS      GHOMRASSEN"
704906;"BS      SOUSSE BOUJAAFAR"
704907;"BS      REMADA"
704908;"BS      MEGRINE"
704909;"BS      EL DJEM"
704999;"BS      SREVICE CENTRAL"
705000;"BT      SUCC PARTICULIERS"
705001;"BT      MOHAMED V  TUNIS"
705002;"BT      SUCC ENTREPRISES"
705003;"BT      EL MENZAH"
705004;"BT      LA GOULETTE"
705005;"BT      HAMMAM-LIF"
705006;"BT      EL HEBEBIA +"
705007;"BT      BAB SAADOUN TUNIS"
705008;"BT      BAB MENARA TUNIS"
705009;"BT      MEGRINE"
705010;"BT      TABARKA"
705011;"BT      TABARKA"
705100;"BT      CARTHAGE"
705101;"BT      SOUK ELBLAT TUNI"
705102;"BT      BAB ELKHADHRA"
705103;"BT      TUNIS LIBERTE"
705104;"BT      LE KRAM"
705105;"BT      KSAR-SAID"
705106;"BT      MANOUBA"
705107;"BT      ARIANA"
705108;"BT      MUTUELLEVILLE"
705109;"BT      OUED ELLIL"
705200;"BT      BIZERTE"
705201;"BT      MENZEL BOURGUIBA"
705202;"BT      MATEUR"
705203;"BT      SOUKRA"
705204;"BT      KSOUR ESSAF"
705205;"BT      KEF"
705206;"BT      EL MANAR II (BP)"
705207;"BT      BEKALTA"
705208;"BT      CHARGUIA"
705209;"BT      RADES"
705300;"BT      NABEUL"
705301;"BT      GROMBALIA"
705302;"BT      HAMMAMET"
705303;"BT      MENZEL BOU-ZELFA"
705304;"BT      BENI KHALLED (BP)"
705305;"BT      KORBA (BP)"
705306;"BT      TEBOULBA"
705307;"BT      NOUVELLE ARIANA"
705308;"BT      MENZAL TEMIME"
705309;"BT      SFAX BAB JEBLI"
705400;"BT      BEJA"
705401;"BT      MEDJEZ EL BAB"
705402;"BT      SILIANA"
705403;"BT      TUNIS IBN KHALDOUN"
705404;"BT      NASRIA SFAX"
705405;"BT      JENDOUBA"
705406;"BT      BOUSALEM"
705407;"BT      GHARDIMAOU"
705408;"BT      MEDENINE"
705409;"BT      JERBA MIDOUN"
705500;"BT      PLACE INDEPENDANCE"
705501;"BT      MAHDIA"
705502;"BT      MONASTIR"
705503;"BT      BAB DJEDID SOUSSE"
705504;"BT      KSAR HELAL"
705505;"BT      JEMMEL"
705506;"BT      SAHLINE(BP)"
705507;"BT      ENFIDA (BP)"
705508;"BT      AKOUDA (BP)"
705509;"BT      REJICHE"
705600;"BT      TUNIS RUE 1ER JUIN"
705601;"BT      AUT BANK"
705602;"BT      MEGRINE CENTRE"
705603;"BT      HAMMAMET"
705604;"BT      TOZEUR"
705605;"BT      KAIROUAN"
705606;"BT      SIDI AMOR BOUHAJLA"
705607;"BT      SIDI BOUZID+"
705608;"BT      ZAGHOUAN"
705609;"BT      HERGLA"
705700;"BT      SFAX"
705701;"BT      SAYADA LAMTA BOUHJAR"
705702;"BT      PLACE 7 NOVEMBRE +"
705703;"BT      SFAX ARIANA"
705704;"BT      DAHMANI"
705705;"BT      GABES"
705706;"BT      EL HAMMA (BP)"
705800;"BT      GAFSA"
705900;"BT      ZARZIS"
705901;"BT      BEN GARDANE"
705902;"BT      JERBA"
705903;"BT      RUE DE TURQUIE (A.S)"
705999;"BT      SERVICE CENTRAL"
707000;"AMEN BANK     AV.FRANCE TUNIS"
707001;"AMEN BANK     PLACE PASTEUR"
707002;"AMEN BANK     PLACE BARCELONE"
707003;"AMEN BANK     PLACE D'AFRIQUE"
707004;"AMEN BANK     BAB EL ALOUJ"
707005;"AMEN BANK     EL MENZAH VI"
707006;"AMEN BANK     LA MARSA"
707007;"AMEN BANK     EL OMRANE"
707008;"AMEN BANK     EL MENZEH I"
707009;"AMEN BANK     LE PASSAGE"
707010;"AMEN BANK     SFAX"
707011;"AMEN BANK     SOUSSE KHEZAMA"
707012;"AMEN BANK     EL MANAR CAMPUS"
707013;"AMEN BANK     JARDIN EL MENZAH"
707014;"AMEN BANK     SOUSSE RIADH"
707015;"AMEN BANK     LE PORT RADES"
707100;"AMEN BANK     ARIANA"
707101;"AMEN BANK     BEN AROUS"
707102;"AMEN BANK     HAMMAM LIF"
707103;"AMEN BANK     LAFAYETTE"
707104;"AMEN BANK     EL MANAR 2"
707105;"AMEN BANK     LE KRAM"
707106;"AMEN BANK     SIDI THABET (BP)"
707107;"AMEN BANK     JEDAIDA (BP)"
707108;"AMEN BANK     MUTUELLEVILLE"
707109;"AMEN BANK     LES OLYMPIADES"
707200;"AMEN BANK     BIZERTE"
707201;"AMEN BANK     MONTFLEURY"
707202;"AMEN BANK     BAB EL KHADRA"
707203;"AMEN BANK     TAIEB MHIRI"
707204;"AMEN BANK     SOUK ETTROUK"
707205;"AMEN BANK     MEDENINE"
707206;"AMEN BANK     LE BARDO"
707207;"AMEN BANK     SFAX EL JADIDA"
707208;"AMEN BANK     SOUSSE SENGHOR"
707209;"AMEN BANK     MONASTIR"
707300;"AMEN BANK     NABEUL"
707301;"AMEN BANK     KELIBIA"
707302;"AMEN BANK     BENI KHIAR"
707303;"AMEN BANK     HAMMAMET"
707304;"AMEN BANK     KORBA"
707305;"AMEN BANK     MONASTIR K. HELLAL"
707306;"AMEN BANK     MEGRINE"
707307;"AMEN BANK     ZARZIS"
707308;"AMEN BANK     BAB SOUIKA"
707309;"AMEN BANK     ALAIN SAVARY"
707400;"AMEN BANK     BEJA"
707401;"AMEN BANK     KHEIREDDINE PACHA"
707402;"AMEN BANK     RADES"
707403;"AMEN BANK     GROMBALIA"
707404;"AMEN BANK     JERBA AJIM"
707405;"AMEN BANK     JERBA ELMAY"
707406;"AMEN BANK     ZARZIS +"
707407;"AMEN BANK     SFAX ARIANA"
707408;"AMEN BANK     M'SAKEN"
707409;"AMEN BANK     TATAOUINE"
707500;"AMEN BANK     SOUSSE"
707501;"AMEN BANK     HAMMAM SOUSSE"
707502;"AMEN BANK     PLACE BARCELONE"
707503;"AMEN BANK     LA CHARGUIA"
707504;"AMEN BANK     GHANOUCH"
707505;"AMEN BANK     KALAAT EL ANDALOUS"
707506;"AMEN BANK     BAB JEDID"
707507;"AMEN BANK     BERGES DU LAC TUNIS"
707508;"AMEN BANK     SFAX LA POUDRIERE"
707509;"AMEN BANK     GABES JARA"
707600;"AMEN BANK     KAIROUAN"
707601;"AMEN BANK     AIN MERIEM +"
707700;"AMEN BANK     SFAX VILLE"
707701;"AMEN BANK     SFAX MEDINA"
707702;"AMEN BANK     SFAX GREMDA"
707703;"AMEN BANK     MENZEL CHAKER"
707705;"AMEN BANK     GABES BAB BHAR"
707706;"AMEN BANK     MARETH"
707707;"AMEN BANK     EL GHRAIBA +"
707708;"AMEN BANK     BENI HASSEN +"
707800;"AMEN BANK     JERBA HOUMET SOUK"
707801;"AMEN BANK     JERBA-MIDOUN (BP)"
707802;"AMEN BANK     TOZEUR"
707803;"AMEN BANK     DAR ALLOUCHE"
707804;"AMEN BANK     MAHDIA"
707805;"AMEN BANK     ZONE FRANCHE JARZIS"
707806;"AMEN BANK     NABEUL MEDINA (BP)"
707807;"AMEN BANK     MOHAMED V"
707999;"AMEN BANK     SERVICE CENTRAL"
708000;"BIAT    AV.FRANCE TUNIS"
708001;"BIAT    R.AL JAZIRA TUNIS"
708002;"BIAT    CHARGUIA"
708003;"BIAT    AV.H.BOURG. TUNIS"
708004;"BIAT    AV.PARIS TUNIS"
708005;"BIAT    AV.MED V TUNIS"
708006;"BIAT    LA FAYETTE"
708007;"BIAT    LE PORT +"
708008;"BIAT    EL MENZAH(MAHRAJENE)"
708009;"BIAT    EL MENZAH VI(JEMIL)"
708010;"BIAT    ARIANA"
708011;"BIAT    EL MENZAH I"
708012;"BIAT    SOUSSE MEDINA"
708013;"BIAT    SOUSSE MEDINA"
708014;"BIAT    SOUSSE MEDINA"
708015;"BIAT    SOUSSE MEDINA"
708016;"BIAT    SOUSSE EL KANTAOUI"
708017;"BIAT    SFAX CHAKER"
708018;"BIAT    BARAKET ESSAHEL"
708100;"BIAT    AV DE CARTHAGE TUNIS"
708101;"BIAT    EL MENZAH VII"
708102;"BIAT    BEN AROUS"
708103;"BIAT    MANOUBA"
708104;"BIAT    TUNIS AV HEDI CHAKER"
708105;"BIAT    LE KRAM"
708106;"BIAT    ARIANA"
708107;"BIAT    LE BARDO"
708108;"BIAT    TUNIS MEDINA"
708109;"BIAT    GROMBALIA"
708110;"BIAT    ALYSSA"
708200;"BIAT    BIZERTE"
708201;"BIAT    MATEUR"
708202;"BIAT    EL ALIA"
708203;"BIAT    MEGRINE"
708204;"BIAT    EL OUARDIA"
708205;"BIAT    RUE D EGYPTE"
708206;"BIAT    MENZEL BOUZELFA"
708207;"BIAT    TEBOULBA"
708208;"BIAT    KORBA"
708209;"BIAT    SFAX EL HILAL"
708300;"BIAT    NABEUL"
708301;"BIAT    HAMMAMET"
708302;"BIAT    EL MANAR HAMMAMET"
708303;"BIAT    SOUSSE CORNICHE"
708304;"BIAT    SFAX EL HABIB"
708305;"BIAT    EL MANAR 2"
708306;"BIAT    BAB SOUIKA"
708307;"BIAT    68,AV.H.BOURGUIBA"
708308;"BIAT    ABOU NAWAS HOTEL"
708309;"BIAT    UTIQUE"
708400;"BIAT    BIR MCHERGA"
708500;"BIAT    PORT EL KANTAOUI"
708501;"BIAT    MAHDIA"
708502;"BIAT    SOUSSE NORD"
708503;"BIAT    MONASTIR"
708504;"BIAT    KSAR HELLAL"
708505;"BIAT    KSIBET EL MEDIOUNI"
708506;"BIAT    KALAA-SGHIRA"
708507;"BIAT    M SAKEN"
708508;"BIAT    BIR ALI BEN KHLIFA"
708509;"BIAT    SIDI BOU ALI"
708600;"BIAT    JENDOUBA"
708601;"BIAT    TUNIS AIR (CHARGUIA)"
708602;"BIAT    L HAFSIA"
708603;"BIAT    BERGES DU LAC"
708605;"BIAT    KAIROUAN"
708606;"BIAT    OUESLATIA"
708700;"BIAT    SFAX HARZALLAH"
708701;"BIAT    SFAX MALBURG"
708702;"BIAT    SFAX HACHED"
708703;"BIAT    SFAX GREMDA"
708704;"BIAT    LA POUDRIERE"
708705;"BIAT    GABES"
708706;"BIAT    SFAX MEDINA"
708707;"BIAT    TOZEUR"
708708;"BIAT    MAHRES"
708709;"BIAT    SAKIET EZZIT"
708800;"BIAT    EL HENCHA"
708801;"BIAT    SFAX CENTER"
708802;"BIAT    SFAX 2000"
708803;"BIAT    JERBA"
708804;"BIAT    SFAX THAMEUR"
708900;"BIAT    BEJA"
708901;"BIAT    FOIRE DE SFAX"
708902;"BIAT    SOUSSE KHEZAMA"
708903;"BIAT    JAMEL ABDENNACEUR"
708904;"BIAT    EZZOUHOUR"
708905;"BIAT    HAMMAM SOUSSE"
708906;"BIAT    SFAX 5 AOUT"
708907;"BIAT    CITE ENNASR"
708908;"BIAT    HAMMAMET MREZGA"
708909;"BIAT    HAMMAMET CENTRE"
708999;"BIAT    SERVICE CENTRAL"
709000;"BDET    BDET TUNIS"
709999;"BDET    SERVICE CENTRAL"
710000;"STB     AV.H.THAMEUR TUNIS"
710001;"STB     LA FAYETTE +"
710002;"STB     R.AL JAZIRA TUNIS"
710003;"STB     TUNIS PORT"
710004;"STB     BAB SOUIKA"
710005;"STB     MEDINA TUNIS"
710006;"STB     R.K.PACHA TUNIS"
710007;"STB     CITE MAHRAJ.MENZAH"
710008;"STB     LE KRAM"
710009;"STB     MORNAGUIA +"
