"code_banque";"libelle_banque"
711901;"UBCI    BERGES DU LAC"
711902;"UBCI    KELIBIA"
711999;"UBCI    SERVICE CENTRAL"
712000;"UIB     AGENCE CENTRALE"
712001;"UIB     AFRIQUE"
712002;"UIB     MYSR"
712003;"UIB     ELJAZIRA TUNIS"
712004;"UIB     SOUKS TUNIS"
712005;"UIB     LA MARSA"
712006;"UIB     BELHASSEN TUNIS"
712007;"UIB     BEN AROUS"
712008;"UIB     LE BARDO"
712009;"UIB     AV.A.BELHAOU.TUNIS"
712010;"UIB     EL MOUROUJ"
712011;"UIB     JAMMEL"
712012;"UIB     EL JEM"
712013;"UIB     KALLET EL ANDALOUS"
712014;"UIB     EL ALIA"
712015;"UIB     SOUK EL AHAD"
712016;"UIB     TATAOUINE"
712017;"UIB     UIB MENZEL BOURGUIBAAGR"
712018;"UIB     HIBOUN"
712026;"UIB AG CENTRALE"
712100;"UIB     BAB JEDID TUNIS"
712101;"UIB     KHEREDINE"
712102;"UIB     R.ETATS UNIS TUNIS"
712103;"UIB     EL MENZAH (SAADI)"
712104;"UIB     EZZAHRA"
712105;"UIB     LES ABATTOIRS TUNIS"
712106;"UIB     TEBOURBA +"
712107;"UIB     MARSA(EL AHMADI)"
712108;"UIB     EL OUARDIA"
712109;"UIB     SIDI BOU SAID"
712110;"UIB     HOTEL ABOU MARWAN"
712111;"UIB     HOTEL LE PRESIDENT"
712112;"UIB     HOTEL NEJMA"
712113;"UIB     SIDI ALI BEN OUN"
712114;"UIB     FAHS (BP)"
712115;"UIB     OUED ELLIL"
712116;"UIB     BORJ EL AMRI"
712117;"UIB     SFAX JADIDA"
712118;"UIB     SBIBA"
712119;"UIB     GAMMARTH"
712120;"UIB     TOZEUR"
712121;"UIB     DAOUAR HICHER"
712200;"UIB     BIZERTE"
712201;"UIB     MATEUR"
712202;"UIB     MENZEL JEMIL"
712203;"UIB     CHARGUIA"
712204;"UIB     LA GOULETTE"
712205;"UIB     ZAGHOUAN"
712206;"UIB     EL MENZAH VI"
712207;"UIB     ARIANA"
712208;"UIB     EL MANAR"
712209;"UIB     TAPARURA"
712300;"UIB     NABEUL"
712301;"UIB     HAMMAMET"
712302;"UIB     MENZEL BOUZELFA"
712303;"UIB     MENZEL-TEMIME"
712304;"UIB     JENDOUBA"
712305;"UIB     SOUSSE (ERRIADH)"
712306;"UIB     ZARZIS +"
712307;"UIB     MENZEL ABDERRAHMANE"
712308;"UIB     GHARDIMAOU (BP)"
712309;"UIB     MNIHLA"
712400;"UIB     BEJA"
712401;"UIB     HAMMAMET"
712402;"UIB     MEGRINE"
712403;"UIB     RAS JEBEL"
712405;"UIB     TABARKA"
712406;"UIB     HRAIRIA TUNIS"
712407;"UIB     MAHDIA"
712408;"UIB     ESSABALA SIDI BOUZID"
712500;"UIB     SOUSSE"
712501;"UIB     MAHDIA +"
712502;"UIB     MONASTIR"
712503;"UIB     KALAA KEBIRA"
712504;"UIB     HAMMAM SOUSSE"
712505;"UIB     M'SAKEN"
712506;"UIB     NEJMA SOUSSE"
712605;"UIB     KAIROUAN"
712606;"UIB     SIDI AMOR BOUHAJLA"
712700;"UIB     AV.H CHAKER SFAX"
712701;"UIB     MOULIN VILLE"
712702;"UIB     CHEBBA"
712703;"UIB     KERKENNAH"
712704;"UIB     SIDI BOUZID"
712705;"UIB     GABES"
712709;"UIB     KEBILI +"
712800;"UIB     NAFTA"
712801;"UIB     DEGACHE (BP)"
712802;"UIB     GAFSA"
712900;"UIB     MEDENINE"
712901;"UIB     JERBA (MIDOUN)"
712902;"UIB     HOUMET ESSOUK +"
712903;"UIB     TINJA (BP)"
712904;"UIB     KHENIS (BP)"
712905;"UIB     TEBOULBA"
712906;"UIB     ENNADHOUR"
712907;"UIB     ENNADHOUR"
712908;"UIB     EL BOUHEIRA TUNIS"
712909;"UIB     LE KEF"
712999;"UIB     SERVICE CENTRAL"
713000;"PTT     PTT TUNIS"
713007;"PTT     BEN AROUS"
713103;"PTT     ARIANA"
713105;"PTT     ZAGHOUAN"
713200;"PTT     PTT BIZERTE"
713205;"PTT     PTT KEF"
713300;"PTT     PTT NABEUL"
713400;"PTT     PTT BEJA"
713402;"PTT     SILIANA"
713405;"PTT     PTT JENDOUBA"
713500;"PTT     PTT SOUSSE"
713501;"PTT     MAHDIA"
713502;"PTT     MONASTIR"
713600;"PTT     PTT KASSERINE"
713605;"PTT     PTT KAIROUAN"
713700;"PTT     PTT SFAX"
713705;"PTT     PTT GABES"
713708;"PTT     KEBILI"
713800;"PTT     PTT GAFSA"
713803;"PTT     TOZEUR"
713805;"PTT     SIDI BOUZID"
713900;"PTT     PTT MEDNINE"
713904;"PTT     TATAOUINE"
714000;"BH      SUCCURSALE K.PACHA"
714001;"BH      R.IBN EL JAZZAR.TUN"
714002;"BH      SOUSSE KANTAOUI"
714003;"BH      AV.DE LONDRES"
714004;"BH      9 AVRIL TUNIS"
714005;"BH      AV.DE CARTHAGE"
714006;"BH      CITE ETTADHAMEN"
714007;"BH      SOUSSE INDEPENDANCE"
714008;"BH      BEN AROUS"
714009;"BH      KHAZNADAR DENDEN"
714010;"BH      MATEUR"
714011;"BH      MATEUR"
714012;"BH      SUCC MONTPLAISIR"
714013;"BH      ALAIN SAVARY"
714014;"BH      MSAKEN"
714015;"BH      MENZAH V"
714100;"BH      ZAGHOUAN"
714101;"BH      GROMBALIA"
714102;"BH      JENDOUBA"
714103;"BH      SILIANA"
714104;"BH      HAMMAMET"
714105;"BH      LE KEF"
714106;"BH      HOUMET-SOUK"
714107;"BH      TOZEUR"
714108;"BH      KEBILI"
714110;"BH      TABARKA"
714111;"BH      JEMMEL"
714112;"BH      KARKAR"
714113;"BH      SFAX/CITE JARDIN"
714114;"BH      SOUSSE/RIADH"
714115;"BH      BIR KASSAA"
714116;"BH      JERBA MIDOUN"
714200;"BH      IBN KHALDOUN BIZERTE"
714201;"BH      BIZERTE THAALBI"
714202;"BH      SFAX EL JADIDA"
714204;"BH      SIDI BOUZID"
714205;"BH      KASSERINE"
714206;"BH      MEDENINE"
714207;"BH      INTERNATIONAL"
714208;"BH      TATAOUINE"
714300;"BH      NABEUL"
714301;"BH      SFAX CHAKER"
714302;"BH      NABEUL"
714400;"BH      BEJA"
714500;"BH      SOUSSE HACHED"
714501;"BH      MAHDIA"
714502;"BH      MONASTIR"
714605;"BH      KAIROUAN"
714700;"BH      SFAX BEJAOUI"
714705;"BH      GABES"
714800;"BH      GAFSA"
714801;"BH      MENZEL BOURGUIBA"
714802;"BH      HAMMAM SOUSSE"
714803;"BH      ZARZIS"
714804;"BH      NOUVELLE MEDINA"
714805;"BH      RAF RAF"
714806;"BH      ZAOUIT DJEDIDI"
714807;"BH      EL MOUROUJ"
714808;"BH      HAMMAM LIF"
714809;"BH      HOTEL DIPLOMAT TUNIS"
714900;"BH      SCCURSALE AV.BOURGUI"
714901;"BH      CHATT MERIAM"
714902;"BH      CHARGUIA"
714903;"BH      KELIBIA"
714904;"BH      ARIANA"
714905;"BH      MARSA"
714906;"BH      MEGRINE"
714907;"BH      BEN GUERDANE"
714908;"BH      KRAM"
714909;"BH      EZZAHRA"
714999;"BH      SERVICE CENTRAL"
716000;"CBNA    TUNIS BRANCH"
716001;"CBNA    SFAX"
716999;"CBNA    SERVICE CENTRAL"
717000;"CCP     CCP TUNIS"
717001;"CCP     CEF TUNIS I"
717002;"CCP     CEF TUNIS II"
717007;"CCP     BEN AROUS"
717102;"CCP     KASSERINE"
717103;"CCP     ARIANA"
717105;"CCP     ZAGHOUAN"
717200;"CCP     BIZERTE"
717205;"CCP     LE KEF"
717206;"CCP     CEF LE KEF"
717300;"CCP     NABEUL"
717400;"CCP     BEJA"
717402;"CCP     SILIANA"
717405;"CCP     JENDOUBA"
717500;"CCP     SOUSSE"
717501;"CCP     MAHDIA"
717502;"CCP     MONASTIR"
717503;"CCP     CEF SOUSSE"
717600;"CCP     KASSERINE"
717605;"CCP     KAIROUAN"
717606;"CCP     CEF KAIROUAN"
717700;"CCP     SFAX"
717701;"CCP     CEF SFAX"
717705;"CCP     GABES"
717706;"CCP     CEF GABES"
717708;"CCP     KEBILI"
717800;"CCP     GAFSA"
717801;"CCP     CEF GAFSA"
717803;"CCP     TAZEUR"
717805;"CCP     SIDI BOUZID"
717900;"CCP     MEDENINE"
717901;"CCP     CEF MEDENINE"
717904;"CCP     TATAOUINE"
717999;"CCP     SERVICE CENTRAL"
718000;"BNDT    B.N.D.T TUNIS"
718999;"BNDT    SERVICE CENTRAL"
720000;"BTKD    TUNIS"
720999;"BTKD    SERVICE CENTRAL"
721000;"STUSID  TUNIS"
721999;"STUSID  SERVICE CENTRAL"
722000;"AV DE LA LIBERTE"
723000;"BTQI    TUNIS"
723001;"BTQI    CENTRE URBAIN NORD"
723999;"BTQI    SERVICE CENTRAL"
724000;"BTEI    BTEI - TUNIS"
724001;"BTE"
725000;"TUNIS"
726000;"BTL     TUNIS"
726001;"BTL     INTERNATIONAL"
726002;"BTL     AA"
726999;"BTL     SERVICE CENTRAL"
727000;"BTS     AGENCE SIEGE"
727999;"BTS     SERVICE CENTRAL"
728000;"ABC ABC TUNI"
728001;"ABC ABC SFAX"
731000;"BCMA    BCMA TUNIS"
732000;"BEST    AV.HEDI.CHAKER"
732001;"BEST    JEMAA EZZITOUNA"
732002;"BEST    SFAX"
732003;"BEST    FOIRE INTERNATIONALE"
732004;"BEST    BIZERTE +"
732005;"BEST    BERGES DU LAC_TUNIS"
732006;"BEST    SOUSSE"
732999;"BEST    SERVICE CENTRAL"
733000;"NAIB    NAIB TUNIS"
733001;"NAIB    BIZERTE"
735000;"ALUBAFALUBAF TUNIS"
735001;"ALUBAFSFAX"
735002;"ALUBAFMEDENINE"
736001;"TL      SFAX"
736002;"TL      SOUSSE"
737000;"UTL     AGENCE CENTRALE"
737001;"UTL     SOUSSE"
737002;"UTL     SFAX"
738001;"CIL     SFAX"
739000;"ATL     ATL"
739001;"ATL     ATL"
739002;"ATL     ATL"
740001;"ALSFAX"
741000;"GL SFAX"
741001;"GL SOUSSE"
741002;"GL SFAX"
766001;"CMCATZAGHOUAN"
766002;"CMCATPONT DE FAHS"
766200;"CMCATBIZERTE"
766201;"CMCATRAS-DJEBEL"
766205;"CMCATGAAFOUR"
766206;"CMCATDAHMANI"
766300;"CMCATNABEUL"
766301;"CMCATGROMBALIA"
766302;"CMCATKELIBIA"
766303;"CMCATKORBA"
766304;"CMCATBENI KHALLED"
766305;"CMCATMENZEL BOUZELFA"
766306;"CMCATSOLIMAN"
766500;"CMCATSOUASSI"
766501;"CMCATENFIDHA"
766600;"CMCATTHALA"
766605;"CMCATSIDI.BOUZID"
766800;"CMCATTOZEUR"
772000;"UTB     UTB TUNIS"
773000;"TIB     TIB SIEGE CENTRAL"
773001;"TIB     SOUSSE"
773002;"TIB     BIZERTE"
773999;"TIB     SERVICE CENTRAL"
774000;"LINC    LINC TUNIS"
775000;"CITIBANKCITIBANK TUNIS"
775001;"CITIBANKSFAX"
778000;"ABC     ABC SIEGE"
778001;"ABC     AGENCE CENTRALE"
790000;"BTC     KRAM"
800000;"BANK TTN"
712045;"UIB "
